*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=wifi_sensor
*Date=09:05:59
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;39.5308;-41.6409;-90;Bottom;TXT1
2;;;63.3221;-44.5506;0;Bottom;Copper Fill47
3;;;12.7414;-34.3454;0;Bottom;Via33
4;;;10.8204;-25.5006;0;Bottom;Copper Fill90
5;;;62.2172;-43.4711;0;Bottom;Copper Fill114
6;;;10.1473;-48.1955;0;Bottom;Copper Fill17
7;;;46.3803;-40.7406;0;Bottom;Copper Fill109
8;;;15.9004;-36.9306;0;Bottom;Copper Fill31
9;;;39.4114;-36.8854;0;Top;Pad5
10;;;7.66139;-31.8054;0;Bottom;Via23
11;;;61.1377;-44.5506;0;Bottom;Copper Fill46
12;;;34.3227;-41.1297;-90;Bottom;TXT1
13;;;32.4103;-28.0406;0;Bottom;Copper Fill105
14;;THT;59.8717;-43.4988;90;Bottom;J1
15;;;65.6843;-15.3406;0;Bottom;Copper Fill95
16;;;40.6945;-8.95471;0;Bottom;Pad1
17;;;15.2814;-43.2354;0;Bottom;Via27
18;;;45.9878;-41.6695;-90;Bottom;TXT1
19;;;43.1672;-3.69467;0;Bottom;Copper Fill5
20;;;48.9203;-11.5306;0;Bottom;Copper Fill83
21;;;10.1473;-48.1955;0;Bottom;Copper Fill84
22;;;45.7614;-36.8854;0;Top;Pad4
23;;;54.6513;-33.0754;0;Bottom;Via20
24;;;7.66139;-36.8854;0;Bottom;Via22
25;;;29.7687;-24.2306;0;Bottom;Copper Fill100
26;;;57.1914;-36.8854;0;Top;Pad2
27;;;45.7072;-45.6555;0;Bottom;Copper Fill42
28;;;11.9888;-34.3906;0;Bottom;Copper Fill30
29;;;11.9888;-28.0406;0;Bottom;Copper Fill102
30;;;10.271;-50.0644;-90;Bottom;TXT1
31;;;43.1672;-1.71347;0;Bottom;Copper Fill6
32;;;62.4168;-41.7828;-90;Bottom;TXT1
33;;;47.0519;-21.6246;0;Bottom;Via31
34;;;9.0424;-47.0906;0;Bottom;Copper Fill19
35;;;63.8301;-9.04137;0;Bottom;Copper Fill76
36;;;58.4836;-15.322;0;Bottom;Via38
37;;;3.85139;-35.6154;0;Bottom;Via29
38;;;21.2344;-15.8867;0;Bottom;Copper Fill55
39;;;35.5472;-22.7447;0;Bottom;Copper Fill86
40;;;10.1473;-24.8275;0;Bottom;Copper Fill28
41;;;60.8075;-17.6393;0;Bottom;Copper Fill63
42;;;10.2014;-25.4555;0;Bottom;Via6
