*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=wifi_sensor
*Date=15:58:11
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;6.39139;-34.3454;0;Bottom;Via7
2;;;22.9014;-36.8854;0;Top;Pad9
3;;;10.271;-50.0644;-90;Bottom;TXT1
4;;;36.8713;-44.5054;0;Bottom;Via21
5;;;45.7614;-14.0254;0;Bottom;Via3
6;;;11.9888;-28.0406;0;Bottom;Copper Fill134
7;;;26.4033;-49.9227;0;Bottom;Copper Fill22
8;;;34.3314;-14.0254;0;Bottom;Via54
9;;;17.8214;-12.7554;0;Top;Pad13
10;;;14.6304;-30.5806;0;Bottom;Copper Fill43
11;;;10.1473;-24.8275;0;Bottom;Copper Fill39
12;;;44.6278;-44.5506;0;Bottom;Copper Fill141
13;;;13.9573;-29.9075;0;Bottom;Copper Fill42
14;;;49.6824;-31.8125;0;Bottom;Copper Fill72
15;;5 mm [THT];64.8245;-9.64575;0;Bottom;LED1
16;;;27.9814;-12.7554;0;Bottom;Via79
17;;;43.2213;-7.67551;0;Bottom;Via8
18;;THT;36.9984;-43.4894;90;Bottom;J3
19;;;46.9773;-32.5491;0;Bottom;Copper Fill139
20;;;13.9573;-26.0975;0;Bottom;Copper Fill118
21;;;47.0314;-12.7554;0;Bottom;Via52
22;;;59.6773;-20.6619;0;Bottom;Copper Fill45
23;;;59.6773;-22.7447;0;Bottom;Copper Fill129
24;;;47.0314;-14.0254;0;Bottom;Via81
25;;;50.8414;-36.8854;0;Top;Pad3
26;;;57.1914;-36.8854;0;Top;Pad2
27;1k;2512 [SMD];24.1714;-22.6554;90;Top;R6
28;;;3.85139;-35.6154;0;Bottom;Via29
29;;;19.0777;-16.2352;0;Bottom;TXT2
30;;;29.1973;-10.8575;0;Bottom;Copper Fill110
31;;;17.7673;-4.12648;0;Bottom;Copper Fill33
32;;;22.9014;-12.7554;0;Top;Pad14
33;;;32.4104;-28.0406;0;Bottom;Copper Fill135
